Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Bowler,Runs,Extra Runs,Bowler Extra Runs,Extra,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,1,1,Matt Davies,shafiul islam,0,0,0,,,,,,,,,,,,,,,175,9,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:07:04.177,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,0,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,1,No,1,1,0,1,1,1,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,2,2,Matt Davies,shafiul islam,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:08:42.36,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,0,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,2,No,1,2,0,1,1,1,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,3,3,Matt Davies,shafiul islam,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:08:57.95,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,0,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,3,No,1,3,0,1,1,1,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,4,4,Matt Davies,shafiul islam,2,0,0,,,,,,,,,,,,,,,209,271,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:09:55.46,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,2,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,4,No,1,4,2,1,1,1,0.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,5,5,Matt Davies,shafiul islam,0,1,1,Wide,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:09:57.56,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,3,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,No,5,No,1,4,2,1,1,1,3.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,6,5,Matt Davies,shafiul islam,0,2,2,Wide,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:10:24.31,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Graham Stevens,5,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,No,5,No,1,4,2,1,1,1,4.50,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,7,5,Graham Stevens,shafiul islam,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:10:57.753,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Matt Davies,5,0,2,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,5,No,1,1,0,1,1,1,7.50,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,1,8,6,Graham Stevens,shafiul islam,4,0,0,,,,,,,,,,,,,,,324,119,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:11:56.867,0,Garsington CC 2nd XI,Bowl,Thomson Avenue,Matt Davies,9,0,2,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,6,No,1,2,4,1,1,1,6.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,2,1,7,Matt Davies,Ajay Dhulipalla,4,1,1,No Ball,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:12:04.08,0,Garsington CC 2nd XI,Bowl,Dish,Graham Stevens,14,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,No,1,No,1,5,6,1,1,1,9.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwell International CC 1st XI v Garsington CC 2nd XI,04/05/2024,13:00,1,2,2,7,Matt Davies,Ajay Dhulipalla,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240504 13:13:39.083,0,Garsington CC 2nd XI,Bowl,Dish,Graham Stevens,14,0,1,,1,1,,,Harwell International CC 1st XI won by 79 runs,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell International CC 1st XI,Garsington CC 2nd XI,Harwell,stephen.boag@gmail.com,,,,,,,Yes,1,No,1,6,6,1,1,1,14.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
