match_date,league_name,season
04/05/2024,Friendly,2024
05/05/2024,Friendly,2024
08/05/2024,Downs League,2024
11/05/2024,Cherwell League,2024
12/05/2024,Friendly,2024
15/05/2024,Downs League,2024
18/05/2024,Cherwell League,2024
19/05/2024,Friendly,2024
25/05/2024,Cherwell League,2024
26/05/2024,Friendly,2024
29/05/2024,Downs League,2024
01/06/2024,Cherwell League,2024
05/06/2024,Downs League,2024
08/06/2024,Cherwell League,2024
09/06/2024,Friendly,2024
12/06/2024,Downs League,2024
15/06/2024,Cherwell League,2024
16/06/2024,Friendly,2024
19/06/2024,Downs League,2024
22/06/2024,Cherwell League,2024
26/06/2024,Downs League,2024
29/06/2024,Cherwell League,2024
03/07/2024,Downs League,2024
07/07/2024,Friendly,2024
10/07/2024,Downs League,2024
13/07/2024,Cherwell League,2024
14/07/2024,Friendly,2024
16/07/2024,Friendly,2024
20/07/2024,Cherwell League,2024
21/07/2024,Friendly,2024
24/07/2024,Downs League,2024
27/07/2024,Cherwell League,2024
28/07/2024,Friendly,2024
03/08/2024,Cherwell League,2024
10/08/2024,Cherwell League,2024
11/08/2024,Friendly,2024
17/08/2024,Cherwell League,2024
18/08/2024,Friendly,2024
24/08/2024,Cherwell League,2024
25/08/2024,Friendly,2024
31/08/2024,Cherwell League,2024
01/09/2024,Friendly,2024
07/09/2024,Cherwell League,2024
08/09/2024,Friendly,2024
03/05/2025,Friendly,2025
10/05/2025,Cherwell League,2025
10/05/2025,Cherwell League,2025
11/05/2025,Friendly,2025
17/05/2025,Cherwell League,2025
18/05/2025,Friendly,2025
21/05/2025,Downs League,2025
24/05/2025,Cherwell League,2025
24/05/2025,Cherwell League,2025
28/05/2025,Downs League,2025
31/05/2025,Cherwell League,2025
31/05/2025,Cherwell League,2025
01/06/2025,Friendly,2025
04/06/2025,Downs League,2025
07/06/2025,Cherwell League,2025
07/06/2025,Cherwell League,2025
08/06/2025,Friendly,2025
11/06/2025,Downs League,2025
14/06/2025,Cherwell League,2025
14/06/2025,Cherwell League,2025
18/06/2025,Downs League,2025
21/06/2025,Cherwell League,2025
22/06/2025,Cup,2025
28/06/2025,Cherwell League,2025
28/06/2025,Cherwell League,2025
29/06/2025,Friendly,2025
05/07/2025,Cherwell League,2025
05/07/2025,Cherwell League,2025
09/07/2025,Downs League,2025
11/07/2025,Downs League,2025
12/07/2025,Cherwell League,2025
13/07/2025,Friendly,2025
19/07/2025,Cherwell League,2025
19/07/2025,Cherwell League,2025
20/07/2025,Cup,2025
22/07/2025,Friendly,2025
23/07/2025,Friendly,2025
26/07/2025,Cherwell League,2025
26/07/2025,Cherwell League,2025
27/07/2025,Friendly,2025
30/07/2025,Downs League,2025
02/08/2025,Cherwell League,2025
02/08/2025,Cherwell League,2025
06/08/2025,Downs League,2025
09/08/2025,Cherwell League,2025
10/08/2025,Friendly,2025
16/08/2025,Cherwell League,2025
17/08/2025,Friendly,2025
23/08/2025,Cherwell League,2025
23/08/2025,Cherwell League,2025
